gene	disease_1	disease_2	disease_3	disease_4	disease_5	disease_6	disease_7	disease_8	disease_9	disease_10	disease_11	disease_12	disease_13	disease_14	disease_15
1038	MIM302650														
10380	MIM604053														
10381	MIM600638	MIM602661	MIM606854	MIM614039											
10382	MIM602662														
10383	MIM602660														
10384	MIM613595														
10385	MIM613591														
10386	MIM603663														
10388	MIM604105														
10389	MIM300208														
1039	MIM117340														
10391	MIM605002														
103910	MIM609211														
10392	MIM605980														
10393	MIM613745														
10394	MIM606814														
10395	MIM604258														
10396	MIM609542														
10397	MIM601455	MIM605262													
10398	MIM609905														
10399	MIM176981														
104	MIM601218														
1040	MIM603548														
10400	MIM602391														
10401	MIM605987														
10402	MIM607156														
10403	MIM607272														
10407	MIM606560														
10408	MIM605374														
10409	MIM605940														
1041	MIM146520	MIM270300	MIM602593												
10410	MIM605579														
10411	MIM606057														
10412	MIM612497														
10413	MIM606608														
10417	MIM605918														
10418	MIM604989														
10419	MIM604045														
10420	MIM604746														
10421	MIM604470														
10422	MIM608129														
10423	MIM605893														
10424	MIM607735														
10425	MIM605615														
10427	MIM607184														
10428	MIM608108														
1043	MIM114280														
10430	MIM613585														
10432	MIM612409														
10434	MIM605599														
10435	MIM606132														
10436	MIM211180	MIM611531													
10437	MIM604664														
10438	MIM606997														
10439	MIM605366														
1044	MIM600746														
10440	MIM605057														
10445	MIM609504														
10446	MIM605492														
10447	MIM608618														
10449	MIM604770														
1045	MIM600297														
10450	MIM602435														
10451	MIM605541														
10452	MIM608061														
10454	MIM602615														
10455	MIM608024														
10456	MIM605998	MIM610738													
10457	MIM604368														
10458	MIM605475														
10459	MIM604094														
1046	MIM300025														
10460	MIM109800	MIM605303													
10461	MIM604705	MIM613862													
10462	MIM605999														
10463	MIM604604														
10464	MIM607532														
10465	MIM606095														
10466	MIM606821	MIM613612													
10468	MIM136470														
10469	MIM605058														
1047	MIM601858														
10471	MIM605660														
10472	MIM608433														
10474	MIM602945														
10477	MIM604151														
10478	MIM606795														
10479	MIM105830	MIM300231	MIM300243												
1048	MIM114890														
10480	MIM609641														
10481	MIM604607														
10482	MIM602647														
10483	MIM224100	MIM610512													
10484	MIM607812	MIM610511													
10488	MIM606443														
10490	MIM603207														
10491	MIM605497	MIM610682													
10493	MIM604631														
10494	MIM602255														
10495	MIM300282														
10497	MIM605836														
10498	MIM603934														
10499	MIM601993														
105	MIM602065														
1050	MIM116897	MIM601626													
10500	MIM609294														
10501	MIM608873														
10505	MIM603706														
10507	MIM601866														
1051	MIM189965														
10512	MIM602645														
10513	MIM605324														
10514	MIM604885														
10516	MIM123700	MIM604580	MIM608895	MIM614434											
10517	MIM611679														
10518	MIM605564	MIM609439	MIM614869												
10519	MIM602293														
1052	MIM116898														
10520	MIM601856														
10521	MIM608469														
10522	MIM602635														
10524	MIM601409														
10525	MIM601746														
10526	MIM605600														
10527	MIM605586														
10528	MIM614153	MIM614154													
10529	MIM605491														
1053	MIM245480	MIM600749													
10533	MIM608760														
10534	MIM606044														
10535	MIM606034	MIM610333													
10536	MIM610342														
10537	MIM606050														
10538	MIM612476														
10539	MIM612754														
1054	MIM138972														
10540	MIM607376														
10542	MIM608521														
10544	MIM600646														
10547	MIM603935														
10549	MIM606506														
1055	MIM115470														
10550	MIM605709														
10551	MIM606358														
10552	MIM604220														
10553	MIM605628														
10554	MIM603099														
10555	MIM603100	MIM608594													
10556	MIM606115														
10557	MIM606116														
10558	MIM162400	MIM605712													
10559	MIM603585	MIM605634													
1056	MIM114840	MIM609812													
10560	MIM249270	MIM603941													
10561	MIM610468														
10562	MIM614061														
10563	MIM605149														
10564	MIM605371	MIM608097													
10565	MIM604141														
10566	MIM604689														
10567	MIM604925														
10568	MIM265100	MIM604217	MIM610441												
10569	MIM605974														
10570	MIM608407														
10572	MIM605567														
10573	MIM604853														
10574	MIM605140														
10575	MIM605142														
10576	MIM605139														
10577	MIM601015	MIM607625													
10578	MIM188855														
10579	MIM605302														
1058	MIM117139														
10580	MIM605264														
10581	MIM605578														
10584	MIM607620														
10585	MIM236670	MIM607423	MIM609308	MIM613155											
10586	MIM604357														
10587	MIM606448														
10588	MIM604197														
10589	MIM602289														
1059	MIM117140														
10590	MIM609202														
10592	MIM605576														
10594	MIM600059	MIM607300													
10595	MIM604034														
10598	MIM608466														
10599	MIM237450	MIM604843													
1060	MIM117141														
10600	MIM604735														
10602	MIM606133														
10603	MIM605300														
10605	MIM605184														
10606	MIM172439														
10607	MIM605915														
10610	MIM610137														
10611	MIM605904														
10612	MIM605493														
10613	MIM611604														
10614	MIM607328														
10616	MIM610924														
10617	MIM606247														
10618	MIM603062														
1062	MIM117143														
10620	MIM612457														
10625	MIM609209														
10626	MIM609505														
10628	MIM606599														
10629	MIM602946														
1063	MIM600236														
10630	MIM608863														
10631	MIM608777														
10633	MIM602220														
10634	MIM602128														
10635	MIM603070														
10636	MIM602513														
10637	MIM603037														
10640	MIM604469														
10641	MIM607072														
10642	MIM608288														
10643	MIM608259														
10644	MIM125853	MIM608289													
10651	MIM608555														
10652	MIM606209														
10653	MIM270420	MIM605124													
10654	MIM607622														
10655	MIM604935														
10656	MIM610421														
10657	MIM602489														
10658	MIM601074														
10659	MIM602538														
1066	MIM114835														
